Channel 1,Channel 2
1.738697364,1.10485966
1.433659099,1.060895905
0.5565875556,1.056180943
-0.3697357265,-0.4902210017
-0.8668547218,-0.9289026431
-0.03823870393,0.3186297674
1.265389867,0.992857887
1.139103615,1.283143308
1.289526669,1.201347411
0.2445066843,0.4429585507
-0.00916517946,-0.03790349325
-0.4676826409,-0.403704034
0.7375816002,1.330512008
1.598483824,1.064685228
1.144139664,1.00518599
-0.1413758134,-0.01422313553
-0.7312183768,-0.1061562581
-0.5141472624,-0.417409874
0.4037591054,0.4702871474
1.239639789,1.139345121
1.401103586,1.359635536
0.7432909412,0.389183702
-0.8307763187,-0.5434472965
-0.3734113435,-0.7462581914
0.0812233893,0.2325751035
1.152702602,1.534345419
1.738263393,1.148639271
0.4604153682,0.6350170622
-0.4502580745,0.09414724201
-0.7254457158,-0.09628249727
-0.1980329695,0.3919771195
1.229576835,1.250302589
1.462860162,1.181460044
1.314452306,0.893162644
-0.1949894249,0.5536334286
-0.1992809376,-0.2494799873
-0.4373709987,-0.1782327695
0.5910244264,1.162728687
1.900311459,1.388116202
1.360807633,1.126569027
0.3578081237,0.5770547144
-0.5792780723,-0.1441954049
-0.5157441657,0.1264439932
0.1871111409,0.9690566336
1.789284921,1.582164024
1.192934869,0.9316172964
0.1975869942,0.8979342897
0.05790431738,0.07778403665
-0.6960563356,-0.1229484189
0.03510334158,-0.0598057733
0.6934477255,0.7527566719
1.735581154,1.715718188
0.4896092228,0.8797048864
0.4074076901,0.3135065631
-0.1627025968,-0.5912888659
0.03608712596,-0.4359179256
1.075464977,1.165199028
1.948836023,1.783409184
0.9453211761,1.029777289
-0.2926863823,0.5736187336
-0.5567862763,-0.82556616
-0.4168726711,-0.4716183557
0.316879331,0.985097412
1.669797432,1.417471697
1.126707944,1.675737126
0.451942281,0.2646159383
-0.2246506775,-0.2619514747
-0.8804260828,-0.8726827585
0.4961213442,0.1380523591
1.493804884,1.552874467
0.9946611817,1.57019461
1.152622555,0.3336620852
0.2617208032,-0.01939622357
-0.4595843251,-0.799712176
-0.3468549862,0.3514154731
1.317676799,0.7082403845
1.00410388,1.352925854
0.7830119349,0.9220234626
-0.0314779484,0.07190875284
-0.5489917789,-0.6670301922
-0.07050212965,-0.04193830538
0.8599830469,0.8809768119
1.70631505,1.132393456
1.244263386,0.7470818399
0.2891374695,0.2893444038
-0.8609241354,-0.1495495665
-0.1571606515,-0.03008265088
0.549215873,0.6565138746
1.810525984,0.9271498164
1.789266181,1.321215822
0.3765473574,0.1514675392
-0.005009777227,-0.7089684817
-0.1397915624,0.03102084576
-0.2247056437,0.7169618105
0.760738715,1.039012791
1.078463298,1.159386601
0.3883154087,1.360380949
-0.4162786462,-0.3873210537
-0.190715391,-0.7495718771
-0.2369667989,-0.2430122642
1.23753559,1.306641615
1.360374332,1.52623006
1.528937008,1.234862946
0.66567862,0.5049812001
-0.1945707988,-0.8070505654
-0.3877206899,-0.1187271019
0.3454766665,0.5369843503
1.120313633,1.83740933
1.004710616,1.170722935
0.9534162015,0.3706257623
-0.3222383597,-0.1964776073
-0.7929976878,-0.6656399907
0.2009585631,0.6441467022
1.597640624,1.227864219
